#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.6320  9.07827214 6.41535886
  0.6330  9.02235506 6.42260879
  0.6340  8.95881988 6.43026088
  0.6350  8.88783208 6.43833301
  0.6360  8.80955917 6.44684842
  0.6370  8.72417057 6.45583613
  0.6380  8.63183754 6.46533129
  0.6390  8.53273304 6.47537568
  0.6400  8.42703168 6.48601825
  0.6410  8.31490960 6.49731577
  0.6420  8.19654439 6.50933360
  0.6430  8.07211502 6.52214652
  0.6440  7.94180174 6.53583985
  0.6450  7.80578602 6.55051063
  0.6460  7.66425050 6.56626911
  0.6470  7.51737893 6.58324052
  0.6480  7.36535609 6.60156718
  0.6490  7.20836782 6.62141106
  0.6500  7.04660094 6.64295693
  0.6510  6.88024327 6.66641615
  0.6520  6.70948368 6.69203134
  0.6530  6.53451206 6.72008225
  0.6540  6.35551944 6.75089295
  0.6550  6.17269811 6.78484096
  0.6560  5.98624172 6.82236877
  0.6570  5.79634553 6.86399859
  0.6580  5.60320667 6.91035135
  0.6590  5.40702452 6.96217147
  0.6600  5.20800120 7.02035961
  0.6610  5.00634218 7.08601632
  0.6620  4.80225716 7.16050130
  0.6630  4.59596113 7.24551491
  0.6640  4.38767582 7.34321245
  0.6650  4.17763164 7.45636732
  0.6660  3.96607025 7.58860948
  0.6670  3.75324800 7.74478254
  0.6680  3.53944078 7.93149431
  0.6690  3.32495057 8.15799419
  0.6700  3.11011479 8.43762741
  0.6710  2.89531971 8.79035941
  0.6720  2.68101997 9.24741177
  0.6730  2.46776771 9.86038931
  0.6740  2.25625702 10.72091752
  0.6750  2.04739319 12.00817101
  0.6760  1.84240315 14.12455231
  0.6770  1.64301525 18.19447654
  0.6780  1.45175503 28.96589439
  0.6790  1.27242734 128.28396066
  0.6800  1.11085458 -36.69871173
  0.6810  0.97578781 -13.85732228
  0.6820  0.87925266 -7.95746452
  0.6830  0.83428361 -5.54439762
  0.6840  0.84852843 -4.45827653
  0.6850  0.91856388 -3.99329289
  0.6860  1.03238942 -3.83009253
  0.6870  1.17664622 -3.80963101
  0.6880  1.34083329 -3.85359665
